id,title,original_title,overview,release_date,original_language,popularity,vote_average,vote_count,poster_path,backdrop_path,adult,genre_ids
1339713,Obsession,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",2026-05-13,en,727.1424,8.264,2835,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,/r013C8Me2bZ0pUi0OWJRh0h7MzT.jpg,False,"27,53"
1084244,Toy Story 5,Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",2026-06-17,en,716.9483,7.421,581,/sfQtVlIHljToOwYjhe21KPGzZWK.jpg,/qjTqY5coNiz6sVtPng40IzltsoN.jpg,False,"16,10751,35,12"
1275779,Disclosure Day,Disclosure Day,"A cybersecurity expert becomes a whistleblower after uncovering secrets about aliens, putting him on the run from a corporation. Meanwhile, a meteorologist experiencing strange phenomena joins forces with him to prove there's life beyond our understanding.",2026-06-10,en,557.4202,6.687,865,/259wnijEJoJLPuZuscxDTqwnypw.jpg,/s6ly8laenkHWlIBRkLSfIuEMLC6.jpg,False,"878,53"
1273221,Scary Movie,Scary Movie,"Twenty-six years after outrunning a suspiciously familiar masked killer, the Core Four are back in the killer's crosshairs and no horror movie IP is safe.",2026-06-03,en,415.75,5.4,446,/1KlYdWoOrbL5ux357rW9LC155qw.jpg,/xWBiXclrRmTggQHMRsIn84YHavs.jpg,False,"35,27"
1083381,Backrooms,Backrooms,A strange doorway appears in the basement of a furniture showroom.,2026-05-27,en,395.8957,6.822,1000,/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,/mCpwRayjXMFzKHbjbzc5JRKfq1O.jpg,False,"27,9648,878"
1108427,Moana,Moana,"Teenage Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with infamous demigod Maui on an unforgettable journey to restore prosperity to her people.",2026-07-08,en,328.2038,5.2,67,/zKVgiv5qHCvCLT4A2ymJi5QeXDH.jpg,/c6U1Te0p0FK0BOB43hiwGlBKiVY.jpg,False,"10751,14,35,12"
1314481,The Devil Wears Prada 2,The Devil Wears Prada 2,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.",2026-04-29,en,318.7798,7.092,1444,/fCAURTUx3YfsJ8k9I0UamjSILiR.jpg,/Af907x5h9W1wVis8XrSd7ynTWuy.jpg,False,"35,18"
1280738,The Furious,火遮眼,"After a criminal network kidnaps Wang Wei's daughter and the corrupt police refuse to assist him, Wei sets out on his own to locate her. Navin, a tenacious journalist whose wife has mysteriously vanished, is his only ally. In this explosive martial arts showdown, the unlikely duo fights the kidnappers ruthlessly driven by a furious vengeance.",2026-06-10,zh,285.0606,7.5,168,/zP19YO60jwEsfKd5Qf1UvA5uJu8.jpg,/1AVF2fAevpfi2HP6AEpptG1kg8R.jpg,False,"28,80,53"
1368314,Passenger,Passenger,"After a young couple witnesses a gruesome highway accident, they soon realize they did not leave the crash scene alone, as a demonic presence called the Passenger that won't stop until it claims them both turns their van life adventure into a nightmare.",2026-05-20,en,304.0779,7.056,350,/2sOEJzhPzjTkZSlPbGxOJ7xgIyS.jpg,/3pDfu71mrzSuFYyIfnKEjt8z4BC.jpg,False,"27,53"
1523145,Your Heart Will Be Broken,Твоё сердце будет разбито,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",2026-03-26,ka,229.569,7.089,112,/7wIBfBl2gejt6xHxNSK0reVIm7E.jpg,/1x9e0qWonw634NhIsRdvnneeqvN.jpg,False,10749
